EntityID,Name,Type,Status,Notes
PER-000001,Keith King,Person,ACTIVE,
PER-000002,Chris Fall,Person,ACTIVE,Former CAISI director
PER-000003,Arvind Raman,Person,ACTIVE,Reported in source as overseeing CAISI; official role verification pending
ORG-000001,European Parliament,Organization,ACTIVE,
ORG-000002,NIST,Organization,ACTIVE,National Institute of Standards and Technology
ORG-000003,CAISI,Organization,ACTIVE,Center for AI Standards and Innovation
TECH-000001,EPGenAI Hub,Technology,ACTIVE,
LEG-000001,EU AI Act,Legislation,ACTIVE,Regulation (EU) 2024/1689
ORG-000004,European Commission,Organization,ACTIVE,European Union executive institution
WEB-000001,European Commission AI Topic Page,Institutional Source,ACTIVE,Campaign 000002 root discovery source